date,grand_Xit,grand_Rit,num_node,grand_Rt,cutoff_I
2020-01-26,3,2,1,0.6666666666666666,0.5
2020-02-08,1,1,1,1,0.5
2020-02-09,1,1,1,1,0.5
2020-02-10,1,1,1,1,0.5
2020-02-11,1,1,1,1,0.5
2020-02-12,6,6,5,1,0.5
2020-02-13,21,14,6,0.6666666666666666,0.5
2020-02-14,21,14,6,0.6666666666666666,0.5
2020-02-15,23,16,7,0.6956521739130435,0.5
2020-02-16,26,19,8,0.7307692307692307,0.5
2020-02-17,26,21,8,0.8076923076923077,0.5
2020-02-18,64,46,10,0.71875,0.5
2020-02-19,64,48,10,0.75,0.5
2020-02-20,66,48,10,0.7272727272727273,0.5
2020-02-21,119,82,12,0.6890756302521008,0.5
2020-02-22,120,82,12,0.6833333333333333,0.5
2020-02-23,209,137,13,0.6555023923444976,0.5
2020-02-24,212,140,13,0.660377358490566,0.5
2020-02-25,208,145,13,0.6971153846153846,0.5
2020-02-26,218,153,12,0.7018348623853211,0.5
2020-02-27,221,149,12,0.6742081447963801,0.5
2020-02-28,189,134,11,0.708994708994709,0.5
2020-02-29,193,144,11,0.7461139896373057,0.5
2020-03-01,196,143,10,0.7295918367346939,0.5
2020-03-02,207,152,10,0.7342995169082126,0.5
2020-03-03,181,134,9,0.7403314917127072,0.5
2020-03-04,179,131,8,0.7318435754189944,0.5
2020-03-05,185,130,7,0.7027027027027027,0.5
2020-03-06,196,128,6,0.6530612244897959,0.5
2020-03-07,211,128,6,0.6066350710900474,0.5
2020-03-08,232,128,6,0.5517241379310345,0.5
2020-03-09,86,50,5,0.5813953488372093,0.5
2020-03-10,85,49,6,0.5764705882352941,0.5
2020-03-11,268,142,6,0.5298507462686567,0.5
2020-03-12,207,107,4,0.5169082125603864,0.5
2020-03-13,3,3,3,1,0.5
2020-03-14,5,4,4,0.8,0.5
2020-03-15,4,3,3,0.75,0.5
2020-03-16,1,1,1,1,0.5
2020-03-17,1,1,1,1,0.5
2020-03-18,1,1,1,1,0.5
2020-03-19,1,1,1,1,0.5
2020-03-20,1,1,1,1,0.5
2020-03-21,1,1,1,1,0.5
2020-03-22,1,1,1,1,0.5
2020-03-23,2,1,1,0.5,0.5
2020-03-24,10,5,3,0.5,0.5
2020-03-25,13,8,1,0.6153846153846154,0.5
2020-03-26,13,8,1,0.6153846153846154,0.5
2020-03-27,13,9,1,0.6923076923076923,0.5
2020-03-28,10075,5086,4,0.5048138957816377,0.5
2020-03-29,10193,5319,4,0.5218287059746886,0.5
2020-03-30,10382,5558,5,0.5353496436139472,0.5
2020-03-31,10540,5761,5,0.546584440227704,0.5
2020-04-01,10638,5966,6,0.5608197029516826,0.5
2020-04-02,10885,6321,7,0.5807073954983922,0.5
2020-04-03,11106,6560,6,0.5906717089861336,0.5
2020-04-04,12898,7877,8,0.6107148395100016,0.5
2020-04-05,13249,8178,9,0.6172541323873499,0.5
2020-04-06,11650,7393,9,0.6345922746781116,0.5
2020-04-07,14427,8869,12,0.6147501213003397,0.5
2020-04-08,12223,7847,14,0.6419864190460607,0.5
2020-04-09,12524,8209,16,0.6554615138933249,0.5
2020-04-10,80972,43947,17,0.542743170478684,0.5
2020-04-11,83066,50705,17,0.6104182216550694,0.5
2020-04-12,124985,73047,20,0.5844461335360244,0.5
2020-04-13,255100,142474,25,0.5585025480203841,0.5
2020-04-14,262852,150860,29,0.5739351422093041,0.5
2020-04-15,298427,176373,31,0.5910088564372526,0.5
2020-04-16,293626,178818,31,0.6089992030678482,0.5
2020-04-17,291735,184873,31,0.6337018184311104,0.5
2020-04-18,303751,195241,34,0.6427666081757756,0.5
2020-04-19,345932,223672,39,0.6465779401732132,0.5
2020-04-20,355413,233191,40,0.6561127477047829,0.5
2020-04-21,373683,249193,41,0.6668566672821616,0.5
2020-04-22,383111,261082,42,0.6814787359277077,0.5
2020-04-23,388823,269087,42,0.6920552539330235,0.5
2020-04-24,417490,291699,45,0.698696974777839,0.5
2020-04-25,422618,295787,48,0.6998921011409831,0.5
2020-04-26,433072,303852,52,0.7016200539402224,0.5
2020-04-27,441690,311459,55,0.7051529353166248,0.5
2020-04-28,403706,299126,57,0.7409500973480702,0.5
