date,WHO_region_name,threshold_val,threshold_type,need_standardize,final_contrbX,weight_type,risk_type
2020-02-04,Africa,0,wp,TRUE,0,mixed_active,risk_contribution
2020-02-04,America,0,wp,TRUE,0.086591982448485455,mixed_active,risk_contribution
2020-02-04,Asia,0,wp,TRUE,0.7805950639703698,mixed_active,risk_contribution
2020-02-04,Eastern Mediterranean,0,wp,TRUE,0.00753246692242505,mixed_active,risk_contribution
2020-02-04,Europe,0,wp,TRUE,0.12528048665871966,mixed_active,risk_contribution
2020-02-05,Africa,0,wp,TRUE,0,mixed_active,risk_contribution
2020-02-05,America,0,wp,TRUE,0.07635289599942915,mixed_active,risk_contribution
2020-02-05,Asia,0,wp,TRUE,0.8012196061520845,mixed_active,risk_contribution
2020-02-05,Eastern Mediterranean,0,wp,TRUE,0.006962891808248726,mixed_active,risk_contribution
2020-02-05,Europe,0,wp,TRUE,0.1154646060402377,mixed_active,risk_contribution
2020-02-06,Africa,0,wp,TRUE,0,mixed_active,risk_contribution
2020-02-06,America,0,wp,TRUE,0.07856503009606575,mixed_active,risk_contribution
2020-02-06,Asia,0,wp,TRUE,0.7925853148459318,mixed_active,risk_contribution
2020-02-06,Eastern Mediterranean,0,wp,TRUE,0.006271936860868521,mixed_active,risk_contribution
2020-02-06,Europe,0,wp,TRUE,0.12257771819713423,mixed_active,risk_contribution
2020-02-07,Africa,0,wp,TRUE,0,mixed_active,risk_contribution
2020-02-07,America,0,wp,TRUE,0.07100199972571877,mixed_active,risk_contribution
2020-02-07,Asia,0,wp,TRUE,0.8067312388133258,mixed_active,risk_contribution
2020-02-07,Eastern Mediterranean,0,wp,TRUE,0.007062838831401212,mixed_active,risk_contribution
2020-02-07,Europe,0,wp,TRUE,0.11520392262955424,mixed_active,risk_contribution
2020-02-08,Africa,0,wp,TRUE,0,mixed_active,risk_contribution
2020-02-08,America,0,wp,TRUE,0.06307915016810724,mixed_active,risk_contribution
2020-02-08,Asia,0,wp,TRUE,0.8248712144723861,mixed_active,risk_contribution
2020-02-08,Eastern Mediterranean,0,wp,TRUE,0.004765649436323426,mixed_active,risk_contribution
2020-02-08,Europe,0,wp,TRUE,0.1072839859231834,mixed_active,risk_contribution
2020-02-09,Africa,0,wp,TRUE,0,mixed_active,risk_contribution
2020-02-09,America,0,wp,TRUE,0.06290435637288944,mixed_active,risk_contribution
2020-02-09,Asia,0,wp,TRUE,0.8191097345511953,mixed_active,risk_contribution
2020-02-09,Eastern Mediterranean,0,wp,TRUE,0.004492410221076292,mixed_active,risk_contribution
2020-02-09,Europe,0,wp,TRUE,0.11349349885483917,mixed_active,risk_contribution
2020-02-10,Africa,0,wp,TRUE,0,mixed_active,risk_contribution
2020-02-10,America,0,wp,TRUE,0.0679316998043805,mixed_active,risk_contribution
2020-02-10,Asia,0,wp,TRUE,0.8038006821618101,mixed_active,risk_contribution
2020-02-10,Eastern Mediterranean,0,wp,TRUE,0.0063429562771214485,mixed_active,risk_contribution
2020-02-10,Europe,0,wp,TRUE,0.12192466175668792,mixed_active,risk_contribution
2020-02-11,Africa,0,wp,TRUE,0,mixed_active,risk_contribution
2020-02-11,America,0,wp,TRUE,0.07482124146725691,mixed_active,risk_contribution
2020-02-11,Asia,0,wp,TRUE,0.7874689771559547,mixed_active,risk_contribution
2020-02-11,Eastern Mediterranean,0,wp,TRUE,0.013463372379059674,mixed_active,risk_contribution
2020-02-11,Europe,0,wp,TRUE,0.12424640899772882,mixed_active,risk_contribution
2020-02-12,Africa,0,wp,TRUE,0,mixed_active,risk_contribution
2020-02-12,America,0,wp,TRUE,0.1267070427907777,mixed_active,risk_contribution
2020-02-12,Asia,0,wp,TRUE,0.6659755877669247,mixed_active,risk_contribution
2020-02-12,Eastern Mediterranean,0,wp,TRUE,0.06964490323516806,mixed_active,risk_contribution
2020-02-12,Europe,0,wp,TRUE,0.13767246620712947,mixed_active,risk_contribution
2020-02-13,Africa,0,wp,TRUE,0,mixed_active,risk_contribution
2020-02-13,America,0,wp,TRUE,0.2347487629011457,mixed_active,risk_contribution
2020-02-13,Asia,0,wp,TRUE,0.5701256139101353,mixed_active,risk_contribution
2020-02-13,Eastern Mediterranean,0,wp,TRUE,0.0744677305628571,mixed_active,risk_contribution
2020-02-13,Europe,0,wp,TRUE,0.12065789262586155,mixed_active,risk_contribution
2020-02-14,Africa,0,wp,TRUE,0,mixed_active,risk_contribution
2020-02-14,America,0,wp,TRUE,0.20761427650025577,mixed_active,risk_contribution
2020-02-14,Asia,0,wp,TRUE,0.6166645118988262,mixed_active,risk_contribution
2020-02-14,Eastern Mediterranean,0,wp,TRUE,0.06998931946328167,mixed_active,risk_contribution
2020-02-14,Europe,0,wp,TRUE,0.10573189213763666,mixed_active,risk_contribution
2020-02-15,Africa,0,wp,TRUE,0,mixed_active,risk_contribution
2020-02-15,America,0,wp,TRUE,0.2623591102467416,mixed_active,risk_contribution
2020-02-15,Asia,0,wp,TRUE,0.644387338704243,mixed_active,risk_contribution
2020-02-15,Eastern Mediterranean,0,wp,TRUE,0.01522186598314687,mixed_active,risk_contribution
2020-02-15,Europe,0,wp,TRUE,0.07803168506586876,mixed_active,risk_contribution
2020-02-16,Africa,0,wp,TRUE,0,mixed_active,risk_contribution
2020-02-16,America,0,wp,TRUE,0.24717237412226245,mixed_active,risk_contribution
2020-02-16,Asia,0,wp,TRUE,0.661649904531411,mixed_active,risk_contribution
2020-02-16,Eastern Mediterranean,0,wp,TRUE,0.019926996543442,mixed_active,risk_contribution
2020-02-16,Europe,0,wp,TRUE,0.07125072480288426,mixed_active,risk_contribution
2020-02-17,Africa,0,wp,TRUE,0,mixed_active,risk_contribution
2020-02-17,America,0,wp,TRUE,0.061403810223010155,mixed_active,risk_contribution
2020-02-17,Asia,0,wp,TRUE,0.8063576640551742,mixed_active,risk_contribution
2020-02-17,Eastern Mediterranean,0,wp,TRUE,0.023898868260298026,mixed_active,risk_contribution
2020-02-17,Europe,0,wp,TRUE,0.10833965746151772,mixed_active,risk_contribution
2020-02-18,Africa,0,wp,TRUE,0,mixed_active,risk_contribution
2020-02-18,America,0,wp,TRUE,0.05963399110156949,mixed_active,risk_contribution
2020-02-18,Asia,0,wp,TRUE,0.8051963120566361,mixed_active,risk_contribution
2020-02-18,Eastern Mediterranean,0,wp,TRUE,0.02596711345084451,mixed_active,risk_contribution
2020-02-18,Europe,0,wp,TRUE,0.10920258339094982,mixed_active,risk_contribution
2020-02-19,Africa,0,wp,TRUE,0,mixed_active,risk_contribution
2020-02-19,America,0,wp,TRUE,0.04598839432551564,mixed_active,risk_contribution
2020-02-19,Asia,0,wp,TRUE,0.8552557054435378,mixed_active,risk_contribution
2020-02-19,Eastern Mediterranean,0,wp,TRUE,0.020560057982626615,mixed_active,risk_contribution
2020-02-19,Europe,0,wp,TRUE,0.07819584224831985,mixed_active,risk_contribution
2020-02-20,Africa,0,wp,TRUE,0,mixed_active,risk_contribution
2020-02-20,America,0,wp,TRUE,0.03512831043137804,mixed_active,risk_contribution
2020-02-20,Asia,0,wp,TRUE,0.8871229246027685,mixed_active,risk_contribution
2020-02-20,Eastern Mediterranean,0,wp,TRUE,0.016057547186767128,mixed_active,risk_contribution
2020-02-20,Europe,0,wp,TRUE,0.06169121777908648,mixed_active,risk_contribution
2020-02-21,Africa,0,wp,TRUE,0,mixed_active,risk_contribution
2020-02-21,America,0,wp,TRUE,0.05979675695381322,mixed_active,risk_contribution
2020-02-21,Asia,0,wp,TRUE,0.8188599583213607,mixed_active,risk_contribution
2020-02-21,Eastern Mediterranean,0,wp,TRUE,0.06458583146488478,mixed_active,risk_contribution
2020-02-21,Europe,0,wp,TRUE,0.05675745325994118,mixed_active,risk_contribution
2020-02-22,Africa,0,wp,TRUE,0,mixed_active,risk_contribution
2020-02-22,America,0,wp,TRUE,0.032299026108262185,mixed_active,risk_contribution
2020-02-22,Asia,0,wp,TRUE,0.8311501659803328,mixed_active,risk_contribution
2020-02-22,Eastern Mediterranean,0,wp,TRUE,0.0613814544103536,mixed_active,risk_contribution
2020-02-22,Europe,0,wp,TRUE,0.07516935350105139,mixed_active,risk_contribution
2020-02-23,Africa,0,wp,TRUE,0,mixed_active,risk_contribution
2020-02-23,America,0,wp,TRUE,0.029127156083613406,mixed_active,risk_contribution
2020-02-23,Asia,0,wp,TRUE,0.8037549407816884,mixed_active,risk_contribution
2020-02-23,Eastern Mediterranean,0,wp,TRUE,0.06588831822379743,mixed_active,risk_contribution
2020-02-23,Europe,0,wp,TRUE,0.10122958491090092,mixed_active,risk_contribution
2020-02-24,Africa,0,wp,TRUE,0,mixed_active,risk_contribution
2020-02-24,America,0,wp,TRUE,0.040382022334679274,mixed_active,risk_contribution
2020-02-24,Asia,0,wp,TRUE,0.7135379542561164,mixed_active,risk_contribution
2020-02-24,Eastern Mediterranean,0,wp,TRUE,0.07169265325328092,mixed_active,risk_contribution
2020-02-24,Europe,0,wp,TRUE,0.17438737015592343,mixed_active,risk_contribution
2020-02-25,Africa,0,wp,TRUE,5.03280432524762e-4,mixed_active,risk_contribution
2020-02-25,America,0,wp,TRUE,0.026205144617009388,mixed_active,risk_contribution
2020-02-25,Asia,0,wp,TRUE,0.6924282962675182,mixed_active,risk_contribution
2020-02-25,Eastern Mediterranean,0,wp,TRUE,0.08207934505612101,mixed_active,risk_contribution
2020-02-25,Europe,0,wp,TRUE,0.19878393362682656,mixed_active,risk_contribution
2020-02-26,Africa,0,wp,TRUE,1.5287640455977216e-4,mixed_active,risk_contribution
2020-02-26,America,0,wp,TRUE,0.01989520716014321,mixed_active,risk_contribution
2020-02-26,Asia,0,wp,TRUE,0.8331455198187793,mixed_active,risk_contribution
2020-02-26,Eastern Mediterranean,0,wp,TRUE,0.06087796220252814,mixed_active,risk_contribution
2020-02-26,Europe,0,wp,TRUE,0.085928434413989,mixed_active,risk_contribution
2020-02-27,Africa,0,wp,TRUE,3.256648859075058e-4,mixed_active,risk_contribution
2020-02-27,America,0,wp,TRUE,0.014056225943505233,mixed_active,risk_contribution
2020-02-27,Asia,0,wp,TRUE,0.7087493878615954,mixed_active,risk_contribution
2020-02-27,Eastern Mediterranean,0,wp,TRUE,0.07713040902356715,mixed_active,risk_contribution
2020-02-27,Europe,0,wp,TRUE,0.19973831228542516,mixed_active,risk_contribution
2020-02-28,Africa,0,wp,TRUE,1.8074098721318905e-4,mixed_active,risk_contribution
2020-02-28,America,0,wp,TRUE,0.011997483727194736,mixed_active,risk_contribution
2020-02-28,Asia,0,wp,TRUE,0.733951181105318,mixed_active,risk_contribution
2020-02-28,Eastern Mediterranean,0,wp,TRUE,0.06795938144449817,mixed_active,risk_contribution
2020-02-28,Europe,0,wp,TRUE,0.1859112127357759,mixed_active,risk_contribution
2020-02-29,Africa,0,wp,TRUE,1.6429675132806037e-4,mixed_active,risk_contribution
2020-02-29,America,0,wp,TRUE,0.011867618622823555,mixed_active,risk_contribution
2020-02-29,Asia,0,wp,TRUE,0.6868979526530159,mixed_active,risk_contribution
2020-02-29,Eastern Mediterranean,0,wp,TRUE,0.06853630152714799,mixed_active,risk_contribution
2020-02-29,Europe,0,wp,TRUE,0.23253383044568413,mixed_active,risk_contribution
2020-03-01,Africa,0,wp,TRUE,9.554257610238558e-5,mixed_active,risk_contribution
2020-03-01,America,0,wp,TRUE,0.008420341990754952,mixed_active,risk_contribution
2020-03-01,Asia,0,wp,TRUE,0.44097109649972194,mixed_active,risk_contribution
2020-03-01,Eastern Mediterranean,0,wp,TRUE,0.15456830981322323,mixed_active,risk_contribution
2020-03-01,Europe,0,wp,TRUE,0.3959447091201968,mixed_active,risk_contribution
2020-03-02,Africa,0,wp,TRUE,0.0018706032945235065,mixed_active,risk_contribution
2020-03-02,America,0,wp,TRUE,0.014237108770098253,mixed_active,risk_contribution
2020-03-02,Asia,0,wp,TRUE,0.42669785698111967,mixed_active,risk_contribution
2020-03-02,Eastern Mediterranean,0,wp,TRUE,0.18475063428735128,mixed_active,risk_contribution
2020-03-02,Europe,0,wp,TRUE,0.37244379666690713,mixed_active,risk_contribution
2020-03-03,Africa,0,wp,TRUE,0.0014155032668026896,mixed_active,risk_contribution
2020-03-03,America,0,wp,TRUE,0.01150377073963797,mixed_active,risk_contribution
2020-03-03,Asia,0,wp,TRUE,0.49424216063177645,mixed_active,risk_contribution
2020-03-03,Eastern Mediterranean,0,wp,TRUE,0.14103143117396671,mixed_active,risk_contribution
2020-03-03,Europe,0,wp,TRUE,0.3518071341878158,mixed_active,risk_contribution
2020-03-04,Africa,0,wp,TRUE,0.004492816514925307,mixed_active,risk_contribution
2020-03-04,America,0,wp,TRUE,0.009053640882820605,mixed_active,risk_contribution
2020-03-04,Asia,0,wp,TRUE,0.32127767892132686,mixed_active,risk_contribution
2020-03-04,Eastern Mediterranean,0,wp,TRUE,0.17740422601818187,mixed_active,risk_contribution
