ref_date,stat,value,type
2020-02-04,num_edge,32,actual
2020-02-04,edge_density,0.11594202898550723,actual
2020-02-04,CC_global,0.6699029126213593,actual
2020-02-04,assortativity,0.3293747816975201,actual
2020-02-05,num_edge,31,actual
2020-02-05,edge_density,0.11231884057971016,actual
2020-02-05,CC_global,0.6206896551724138,actual
2020-02-05,assortativity,0.26190476190476125,actual
2020-02-06,num_edge,28,actual
2020-02-06,edge_density,0.10144927536231885,actual
2020-02-06,CC_global,0.64,actual
2020-02-06,assortativity,0.2799208704253219,actual
2020-02-07,num_edge,23,actual
2020-02-07,edge_density,0.08333333333333334,actual
2020-02-07,CC_global,0.625,actual
2020-02-07,assortativity,-0.03103448275862085,actual
2020-02-08,num_edge,21,actual
2020-02-08,edge_density,0.08300395256916995,actual
2020-02-08,CC_global,0.6382978723404256,actual
2020-02-08,assortativity,-0.19461077844311417,actual
2020-02-09,num_edge,24,actual
2020-02-09,edge_density,0.09486166007905138,actual
2020-02-09,CC_global,0.6,actual
2020-02-09,assortativity,0.07296137339055732,actual
2020-02-10,num_edge,21,actual
2020-02-10,edge_density,0.08300395256916995,actual
2020-02-10,CC_global,0.5675675675675675,actual
2020-02-10,assortativity,0.24550898203592836,actual
2020-02-11,num_edge,21,actual
2020-02-11,edge_density,0.1,actual
2020-02-11,CC_global,0.43902439024390244,actual
2020-02-11,assortativity,0.16534181240063597,actual
2020-02-12,num_edge,20,actual
2020-02-12,edge_density,0.09523809523809523,actual
2020-02-12,CC_global,0.36585365853658536,actual
2020-02-12,assortativity,0.2846924177396282,actual
2020-02-13,num_edge,17,actual
2020-02-13,edge_density,0.08947368421052632,actual
2020-02-13,CC_global,0.39473684210526316,actual
2020-02-13,assortativity,0.10901467505241094,actual
2020-02-14,num_edge,15,actual
2020-02-14,edge_density,0.07142857142857142,actual
2020-02-14,CC_global,0.391304347826087,actual
2020-02-14,assortativity,0.11764705882352929,actual
2020-02-15,num_edge,14,actual
2020-02-15,edge_density,0.08187134502923976,actual
2020-02-15,CC_global,0.2727272727272727,actual
2020-02-15,assortativity,0.16783216783216803,actual
2020-02-16,num_edge,15,actual
2020-02-16,edge_density,0.08771929824561403,actual
2020-02-16,CC_global,0.3103448275862069,actual
2020-02-16,assortativity,0.14979757085020234,actual
2020-02-17,num_edge,13,actual
2020-02-17,edge_density,0.08496732026143791,actual
2020-02-17,CC_global,0.375,actual
2020-02-17,assortativity,0.30851063829787206,actual
2020-02-18,num_edge,8,actual
2020-02-18,edge_density,0.0522875816993464,actual
2020-02-18,CC_global,1,actual
2020-02-18,assortativity,1,actual
2020-02-19,num_edge,8,actual
2020-02-19,edge_density,0.058823529411764705,actual
2020-02-19,CC_global,1,actual
2020-02-19,assortativity,1,actual
2020-02-20,num_edge,8,actual
2020-02-20,edge_density,0.058823529411764705,actual
2020-02-20,CC_global,0.6,actual
2020-02-20,assortativity,-0.06666666666666667,actual
2020-02-21,num_edge,19,actual
2020-02-21,edge_density,0.1111111111111111,actual
2020-02-21,CC_global,0.864406779661017,actual
2020-02-21,assortativity,0.7353760445682449,actual
2020-02-22,num_edge,19,actual
2020-02-22,edge_density,0.1111111111111111,actual
2020-02-22,CC_global,0.6666666666666666,actual
2020-02-22,assortativity,0.48034188034188047,actual
2020-02-23,num_edge,17,actual
2020-02-23,edge_density,0.08947368421052632,actual
2020-02-23,CC_global,0.7777777777777778,actual
2020-02-23,assortativity,0.7702702702702705,actual
2020-02-24,num_edge,37,actual
2020-02-24,edge_density,0.14624505928853757,actual
2020-02-24,CC_global,0.7058823529411765,actual
2020-02-24,assortativity,0.5921460558043402,actual
2020-02-25,num_edge,41,actual
2020-02-25,edge_density,0.11680911680911682,actual
2020-02-25,CC_global,0.6827586206896552,actual
2020-02-25,assortativity,0.3831626120358512,actual
2020-02-26,num_edge,159,actual
2020-02-26,edge_density,0.2145748987854251,actual
2020-02-26,CC_global,0.8946488294314381,actual
2020-02-26,assortativity,0.8342984804470692,actual
2020-02-27,num_edge,180,actual
2020-02-27,edge_density,0.1993355481727575,actual
2020-02-27,CC_global,0.7313691507798961,actual
2020-02-27,assortativity,0.41574430446319743,actual
2020-02-28,num_edge,181,actual
2020-02-28,edge_density,0.1828282828282828,actual
2020-02-28,CC_global,0.713849908480781,actual
2020-02-28,assortativity,0.4125069415366706,actual
2020-02-29,num_edge,186,actual
2020-02-29,edge_density,0.15816326530612246,actual
2020-02-29,CC_global,0.6840713813615333,actual
2020-02-29,assortativity,0.47580436325236236,actual
2020-03-01,num_edge,218,actual
2020-03-01,edge_density,0.14155844155844155,actual
2020-03-01,CC_global,0.7507692307692307,actual
2020-03-01,assortativity,0.6523614590334206,actual
2020-03-02,num_edge,397,actual
2020-03-02,edge_density,0.17955676164631387,actual
2020-03-02,CC_global,0.7988752894475687,actual
2020-03-02,assortativity,0.6534890112967333,actual
2020-03-03,num_edge,401,actual
2020-03-03,edge_density,0.1613682092555332,actual
2020-03-03,CC_global,0.7921256998374571,actual
2020-03-03,assortativity,0.7221229812279111,actual
2020-03-04,num_edge,421,actual
2020-03-04,edge_density,0.14388243335611756,actual
2020-03-04,CC_global,0.7090622813156053,actual
2020-03-04,assortativity,0.5701629176026388,actual
2020-03-05,num_edge,475,actual
2020-03-05,edge_density,0.14302920806985847,actual
2020-03-05,CC_global,0.6561758658864463,actual
2020-03-05,assortativity,0.3725283529556305,actual
2020-03-06,num_edge,527,actual
2020-03-06,edge_density,0.14087142475273992,actual
2020-03-06,CC_global,0.6417994641094344,actual
2020-03-06,assortativity,0.1801579558888799,actual
2020-03-07,num_edge,550,actual
2020-03-07,edge_density,0.12582932967284374,actual
2020-03-07,CC_global,0.6443408223823655,actual
2020-03-07,assortativity,0.19498754053350192,actual
2020-03-08,num_edge,547,actual
2020-03-08,edge_density,0.11276025561739847,actual
2020-03-08,CC_global,0.5906362545018007,actual
2020-03-08,assortativity,0.17168863875952597,actual
2020-03-09,num_edge,521,actual
2020-03-09,edge_density,0.10316831683168318,actual
2020-03-09,CC_global,0.5203557988368115,actual
2020-03-09,assortativity,0.2634202769749974,actual
2020-03-10,num_edge,631,actual
2020-03-10,edge_density,0.11556776556776557,actual
2020-03-10,CC_global,0.6,actual
2020-03-10,assortativity,0.628248820695762,actual
2020-03-11,num_edge,705,actual
2020-03-11,edge_density,0.11759799833194329,actual
2020-03-11,CC_global,0.6281050390347764,actual
2020-03-11,assortativity,0.4827972765546905,actual
2020-03-12,num_edge,721,actual
2020-03-12,edge_density,0.11393805309734514,actual
2020-03-12,CC_global,0.61125518672199175,actual
2020-03-12,assortativity,0.4723219072999002,actual
2020-03-13,num_edge,1215,actual
2020-03-13,edge_density,0.15932336742722267,actual
2020-03-13,CC_global,0.6624832425340141,actual
2020-03-13,assortativity,0.565619276373139,actual
2020-03-14,num_edge,1185,actual
2020-03-14,edge_density,0.13705759888965996,actual
2020-03-14,CC_global,0.6613912021839041,actual
2020-03-14,assortativity,0.6092231950703016,actual
2020-03-15,num_edge,1355,actual
2020-03-15,edge_density,0.14127828172244813,actual
2020-03-15,CC_global,0.6279531706142595,actual
2020-03-15,assortativity,0.47806956049333427,actual
2020-03-16,num_edge,1463,actual
2020-03-16,edge_density,0.13633398564905413,actual
2020-03-16,CC_global,0.6115411477127226,actual
2020-03-16,assortativity,0.4191977571471669,actual
2020-03-17,num_edge,1631,actual
2020-03-17,edge_density,0.14993564993564992,actual
2020-03-17,CC_global,0.6385235014353657,actual
2020-03-17,assortativity,0.5665545451924612,actual
2020-03-18,num_edge,2309,actual
2020-03-18,edge_density,0.19346459991621281,actual
2020-03-18,CC_global,0.6651120179895061,actual
2020-03-18,assortativity,0.566732258599172,actual
2020-03-19,num_edge,2131,actual
2020-03-19,edge_density,0.161402711504961,actual
2020-03-19,CC_global,0.6159410600631118,actual
2020-03-19,assortativity,0.559070396154471,actual
2020-03-20,num_edge,2042,actual
2020-03-20,edge_density,0.15466181928349618,actual
2020-03-20,CC_global,0.5764230123607508,actual
2020-03-20,assortativity,0.5059381349159024,actual
2020-03-21,num_edge,1785,actual
2020-03-21,edge_density,0.13519654623949104,actual
2020-03-21,CC_global,0.5283073249063285,actual
2020-03-21,assortativity,0.48671655085822735,actual
2020-03-22,num_edge,1597,actual
2020-03-22,edge_density,0.12095735817617208,actual
2020-03-22,CC_global,0.5187711491833418,actual
2020-03-22,assortativity,0.48061446455780554,actual
2020-03-23,num_edge,1487,actual
2020-03-23,edge_density,0.11125243154272033,actual
2020-03-23,CC_global,0.5318945760122231,actual
2020-03-23,assortativity,0.4969452437797911,actual
2020-03-24,num_edge,1387,actual
2020-03-24,edge_density,0.1037707616339967,actual
2020-03-24,CC_global,0.5134706814580031,actual
2020-03-24,assortativity,0.48070148487421827,actual
2020-03-25,num_edge,1308,actual
2020-03-25,edge_density,0.09786024240610504,actual
2020-03-25,CC_global,0.49506454062262717,actual
2020-03-25,assortativity,0.41805516497367745,actual
2020-03-26,num_edge,1204,actual
2020-03-26,edge_density,0.09007930570103248,actual
2020-03-26,CC_global,0.44240340705013087,actual
2020-03-26,assortativity,0.3522019764982302,actual
2020-03-27,num_edge,1135,actual
2020-03-27,edge_density,0.08596531091418617,actual
2020-03-27,CC_global,0.44105386026346505,actual
2020-03-27,assortativity,0.4661815356364791,actual
2020-03-28,num_edge,1119,actual
2020-03-28,edge_density,0.08475346512156327,actual
2020-03-28,CC_global,0.4272643572332835,actual
2020-03-28,assortativity,0.4054022360189573,actual
2020-03-29,num_edge,1037,actual
2020-03-29,edge_density,0.07854275543437098,actual
2020-03-29,CC_global,0.39959531119173874,actual
2020-03-29,assortativity,0.35134478438822137,actual
2020-03-30,num_edge,1035,actual
2020-03-30,edge_density,0.07839127471029311,actual
2020-03-30,CC_global,0.39479269845761994,actual
2020-03-30,assortativity,0.37811173228292594,actual
2020-03-31,num_edge,974,actual
2020-03-31,edge_density,0.07377111262591836,actual
2020-03-31,CC_global,0.391304347826087,actual
2020-03-31,assortativity,0.31042150667767776,actual
2020-04-01,num_edge,886,actual
2020-04-01,edge_density,0.06710596076649246,actual
2020-04-01,CC_global,0.38899226324551955,actual
